ID,ISOMERIC SMILES,MW,pAct
CHEMBL5270958,O=C1CN(Cc2ccc(C(=O)NO)cc2)C(=O)[C@H](Cc2c[nH]c3ccccc23)N1,392.14845512000005,5.1944991418416
CHEMBL1830408,CCCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1C1CCCN(C)C1,370.2368762,6.801342913045577
CHEMBL1830411,CCN(CC)CCn1c(C2CC2c2ccccc2)nc2cc(/C=C/C(=O)NO)ccc21,418.2368762,6.772113295386326
CHEMBL5172574,Nc1cc(F)ccc1NC(=O)c1ccc(CN2CCC/C(=C\c3ccccc3)C2=O)cc1,429.18525522799996,5.656000930942839
CHEMBL475796,Cc1ccc(NCc2ccc(C(=O)Nc3ccccc3N)cc2)cc1Nc1nccc(-c2cccnc2)n1,501.2277084840001,6.681936665037238
CHEMBL2046614,O=C(NCCCN1CCc2nc(C(=O)NO)sc2C1)c1ccc(-c2ccccc2)s1,442.113332564,5.246416941107094
CHEMBL2046618,O=C(NCCCCN1CCc2nc(C(=O)NO)sc2C1)c1ccc(-c2ccccc2)s1,456.128982628,5.216096420727265
CHEMBL3818246,Cc1noc(C)c1-c1cccc(NC(=O)CCCCCC(=O)NO)c1,345.168856216,6.443697499232712
CHEMBL3818594,Cc1noc(C)c1-c1cc(NC(=O)CCCCCCC(=O)NO)cc(C(=O)c2ccccc2)c1,463.21072102799997,6.823908740944319
CHEMBL3235787,COc1ccc(-c2ccc(/C=C/C=C/C(=O)NO)cc2)cc1C12CC3CC(CC(C3)C1)C2,429.230393852,4.221125527997261
CHEMBL2035381,Nc1ccccc1NC(=O)CCCNCC(=O)Nc1cccc([N+](=O)[O-])c1,371.159354152,5.638272163982407
CHEMBL2035389,Nc1ccccc1NC(=O)c1ccc(NCC(=O)Nc2cccc(Cl)c2)cc1,394.119653528,5.6020599913279625
CHEMBL1822050,CC(C)CCc1c(OCCCCCCC(=O)NO)ccc2c1OC(=O)CC2,377.22022309199997,7.277942228668536
CHEMBL2022829,O=C(N[C@@H](CCCCCCSSc1ccccn1)C(=O)OCC1c2ccccc2-c2ccccc21)OCc1ccccc1,612.2116496319999,8.119186407719209
CHEMBL99,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,302.163042564,7.638272163982407
CHEMBL3593627,O=C(CCN1C(=O)C2(OCCCO2)c2cc(Br)ccc21)Nc1ccc(C(=O)NO)cc1,489.05354746,6.696458373051111
CHEMBL2057827,[N-]=[N+]=NCCOc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2N)cc1N=[N+]=[N-],414.1552718160001,4.638272163982407
